Name,Product Price,Product URL,Rating,No. of Reviews,ASIN,Item Weight,Manufacturer,Model Number,Quantity,Generic Name,Description
"Lunar's 35 L Laptop Office/School/Travel/Business Backpack Water Proof - Fits Up to 15.6 Inch Laptop Notebook, With Raincover, Inside Organiser and 1 Year Warranty (All)",849,https://amazon.in/Lunars-Router-Resistant-Raincover-Organiser/dp/B08YR63B9M,3.8 out of 5 stars,"1,085",B08YR63B9M,550 g,"Akshaya Rubbers, Hebbal Industrial Area, Mysore",Office Laptop Bag with Raincover,1.00 count,N/A,"Lunar's Laptop Travel Bag : A Spacious and durable laptop backpack for travel, casual usage, school / college / office and travel. Size: 19 inch X 13inch X 8.5 inch. Capacity: 35 liters. This travel bagpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use. It carries 12 months warranty for any manufacturing defects. This “MAKE IN INDIA” Product features 2 large zippered compartments, padded laptop sleeve for upto 15.6"" laptops, internal organiser, 2 water bottle /umbrella pockets, padded handle, inbuilt raincover,3D air ventilated back panel for preventing sweat, heavy duty zippers and sliders, and adjustable straps. Ideal bag for boys, girls, men and women"
ADISA Large Laptop Backpack Office Bag College Travel Back Pack with USB (Black),499,https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BXQZ6Q85,4.0 out of 5 stars,39,B0BXQZ6Q85,650 g,ADISA,BP045,1 Piece,Laptop backpack,"High Quality large and spacious laptop backpack with 1 main laptop compartment and 1 front easy-access pocket. It is ideal for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. It also has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on one side and has USB charging slot on the other side. It has padded shoulder straps for your comfort."
"Tabelito® Casual Laptop Bag 15.6inch (39.6 cm) , 25 LTR Office College School Bags Business Travel Backpack for Men Women Water Resistant Bags(BLACK)",549,https://amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P,4.1 out of 5 stars,"1,733",B08Y5S6C2P,‎449 g,"‎Tabelito Trade India, Tabelito Trade India, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala), Contact : +919958166528",‎Laptop backpack,1 Count,Casual Laptop Backpack,"Separate Laptop Compartment: Fits UNDER 15.6 Inch Laptops (Gaming Laptop and Laptop 13 inch to 15.6 inch is recommended to choose )Main Compartment: Thin clothes, headset, books, magazine, camera, CD's, etcFront 2 Compartments: For Phones, pen, keys, wallet, purse, glasses and other small items.Side Pockets: Durable Elasticized Mesh Pockets on both sides, fit water bottle, small compact umbrella and other itemsHandle: Sturdy handle and adjustable shoulder straps"
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",918,https://amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG,3.8 out of 5 stars,806,B07QN4KXWG,580 g,AirCase,C34-P,1 Unit,Laptop Backpack,N/A
"Safari Spartan 21 Ltrs Water Resistant Backpack - Teal, S (SPARTAN19CBTEA)",599,https://amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B277CR5,3.8 out of 5 stars,765,B09B277CR5,350 g,Safari Industries,SPARTAN19CBTEA,N/A,Backpack,N/A
Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black,990,https://amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0101/dp/B07G44G1DC,4.4 out of 5 stars,"1,770",B07G44G1DC,600 g,Gear Merchandise PVT LTD,LBPVG2LTH0101,1 count,Bag,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements."
Arctic Hunter Backpack Premium Business Backpack for Men Office Travel Laptop Bag with 15.6 Inch Laptop Pocket Water/Scratch-resistant Multiple Pocket Padded College Backpack for Men,"5,699",https://amazon.in/Backpack-Business-Scratch-resistant-Multiple-Comfortable/dp/B0B6FNPN76,4.3 out of 5 stars,98,B0B6FNPN76,N/A,N/A,N/A,N/A,N/A,
Trajectory 15.6 Inch Vegan Leather Messenger Laptop bag for men in Office for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men,"1,399",https://amazon.in/Trajectory-Elegant-15-6-Laptop-Office/dp/B09RK6NCGC,4.1 out of 5 stars,392,B09RK6NCGC,1 kg 380 g,Trajectory marketing LLP,Trajectory Messenger Bag,1.00 count,Trejectory Laptop Messenger bag,N/A
"Lenovo 15.6"" Casual Backpack B210",749,https://amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ,4.2 out of 5 stars,"26,983",B075Y72PHZ,386 g,"Lenovo, Ferns Icon, Level, 2, Outer Ring Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560157",GX40Q17225,1 U,Backpack,N/A
"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap",700,https://amazon.in/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4,4.2 out of 5 stars,755,B08R7S55H4,640 g,Lenovo,GX41B33569,N/A,Backpack,N/A
